Team,Pos,Neg,PPerc,NPerc
atlanta hawks,206,68,0.75,0.25
boston celtics,305,138,0.69,0.31
brooklyn nets,336,89,0.79,0.21
charlotte hornets,296,107,0.73,0.27
chicago bulls,665,173,0.79,0.21
cleveland cavaliers,373,80,0.82,0.18
dallas mavericks,233,91,0.72,0.28
denver nuggets,286,114,0.71,0.28
detroit pistons,133,55,0.71,0.29
golden state warriors,502,150,0.77,0.23
houston rockets,112,65,0.63,0.37
indiana pacers,134,44,0.75,0.25
los angeles clippers,192,62,0.76,0.24
los angeles lakers,603,241,0.71,0.29
memphis grizzlies,186,46,0.8,0.2
miami heat,345,100,0.78,0.22
milwaukee bucks,256,70,0.79,0.21
minnesota timberwolves,85,32,0.73,0.27
new orleans pelicans,130,58,0.69,0.31
new york knicks,324,90,0.78,0.22
oklahoma city thunder,87,40,0.69,0.31
orlando magic,248,53,0.82,0.18
philadelphia 76ers,249,85,0.75,0.25
phoenix suns,152,40,0.79,0.21
portland trail blazers,127,73,0.64,0.36
sacramento kings,191,76,0.72,0.28
san antonio spurs,109,30,0.78,0.22
toronto raptors,327,89,0.79,0.21
utah jazz,107,33,0.76,0.24
washington wizards,206,48,0.81,0.19
